1,0096830,6/9/2016,Dean Nowicki,"Steve Nowicki is the Dean and Vice Provost for Undergraduate Education and a professor in the departments of biology and psychology and neuroscience in Trinity College, and in the department of neurobiology in Duke�s medical center. Outside the office and classroom � and sometimes inside � he enjoys juggling and playing music � at home with his wife or in the student pep band that performs at Duke basketball games."
2,0055841,8/9/2016,Dishonesty,"Dan Ariely is the James B. Duke Professor of Psychology and Behavioral Economics at Duke University and a founding member of the Center for Advanced Hindsight. His talks on TED have been watched over 7.8 million times. He is the author of Predictably Irrational and The Upside of Irrationality, both of which became New York Times best sellers, as well as The Honest Truth about Dishonesty."
3,0217560,13/9/2016,International Trade,"Professor Leachman is interested in studying the subjects of international trade, exchange rates, fiscal policy, and international macroeconomics. In conducting her research, she often incorporates intertemporal models, multicointegration and sustainability. Her current research project explores the political economy of intertemporal budgeting."
4,0329482,14/9/2016,Human Rights,"Robin Kirk is the Faculty Co-Chair of the Executive Committee of the Duke Human Rights Center at the Franklin Humanities Institute. An author and human rights advocate, Kirk directs the Belfast program for DukeEngage. She directs Undergraduate Studies for Duke�s International Comparative Studies major, where she teaches, and is a lecturer in the Department of Cultural Anthropology. Kirk has written three books, including More Terrible Than Death: Massacres, Drugs and America�s War in Colombia and The Monkey�s Paw: New Chronicles from Peru."
5,0004031,15/9/2016,Markets and Management,"George retired from Procter & Gamble after 26 years of service. George joined P&G after graduating from Duke University in 1981 with a bachelor�s degree in management sciences. After numerous assignments in the United States, he spent 11 years working internationally on start-ups, mergers, acquisitions, and developing and implementing new business models. He has lived in the Bahamas, Australia, Taiwan, Germany, Switzerland, and Romania and has worked in an additional 34 countries. He currently teaches in the markets and management certificate program at Duke University. He also boasts a nearly perfect 4.8 out of 5.0 score on Rate My Professors in regards to overall quality."
6,0084092,20/9/2016,Statistics and Human Rights,"David L. Banks is an American statistician. He is a former editor of the Journal of the American Statistical Association; a founding editor of Statistics, Politics and Policy; and a co-editor of the monograph Statistical Methods for Human Rights. He is a fellow of the Institute of Mathematical Statistics and the Royal Statistical Society. He has been a member of the Board of Directors of the American Statistical Association, and he is a past-President of the Classification Society. He has taught at the University of Cambridge and at Carnegie Mellon University; he was also Chief Statistician of the U.S. Department of Transportation. Additionally, he has served on six National Academies panels. Banks is currently Professor of the Practice of Statistics at Duke University. "
7,0284644,21/9/2016,Monte Carlo modeling,"Johnsen entered biology with backgrounds in math, physics, and art and has since used all three fields to investigate the visual ecology of oceanic zooplankton. After a graduate career, in which he studied the vision and behavior of animals with neither eyes nor brains, he completed postdoctoral fellowships at Harbor Branch Oceanographic Institution and WHOI. After a year as an assistant scientist at WHOI, he accepted a position in the Biology Department at Duke University. He is interested in all aspects of vision in oceanic species, with a particular emphasis on strategies for camouflage. The camouflage research has involved investigations into UV vision, whole-body transparency, cryptic coloration, and counterillumination using techniques ranging from blue water diving to protein biochemistry to Monte Carlo modeling of photon trajectories. He gives numerous talks to the general public and his work has been featured in newspapers, magazines and a John Updike poem."
8,0137361,22/9/2016,Socio-economic Rights,"Catherine Admay taught at NYU Law School and Duke Law School before joining, as visiting faculty, the departments of Political Science and Public Policy/Duke Center for International Development. Admay is a Faculty Affiliate to Duke�s Global Health Institute. Admay worked for the Legal Resources Centre in Pretoria and Gazankulu, South Africa, the NAACP Legal Defense Fund, the Office of the Legal Advisor in the United States Department of State, and with private law firms in Washington, D.C. and Seattle. Admay's teaching and research interests are in the areas of human rights, law and development, global health, comparative constitutional law of socio-economic rights, conflict transformation, and interdisciplinary engagements with law (ethics, arts, storytelling)."
9,0005545,27/9/2016,Neuroengineering,"Dr. Henriquez is also a Professor of Computer Science and Co-Director of the Center for Neuroengineering. Henriquez's research interests include large scale computing, heart modeling, and brain modeling. Dr. Henriquez's group is also interested in developing realistic models that will enable investigators to better interpret electrophysiological measurements made in the clinic. "
10,0332908,4/10/2016,Math,Clark Bray!
